X,Y,OBJECTID,DNAME_2002,Region,Hardwood,Softwood,Tropical_N,Tropical_D,Woodlands,Bushlands,Grasslands,Wetlands,Farmlands,Farmlands_,Builtup_Ar,Sub_Total,Hrdwod_los,Trop_Nloss,Trop_Dloss,Wdland_los,Bland_loss,Gland_loss,Wland_loss,S_fland_lo,C_Fland_lo,B_Area_los,Sub_Ttl_lo,Local_F_R,Central_F_,Dept_J_Mgt,Animal_S,Game_Resv,Nat_Parks,Total_in_T,Country_St,Bal_in_Pri
30.0157382421738,-1.23442925318283,"1",Kabale,SW,"99000","280000","1820000","32000","8000","9000","85000","0","551000","0","14000","2899000","-6230","-8325","-1530","-90","-352","-753","0","8155","0","69","-9056","0","710000","0","0","0","1340000","2049000","2899000","850000"
29.6685717137006,-1.19783634336147,"2",Kisoro,SW,"11000","0","2301000","27000","0","2000","17000","0","221000","0","5000","2585000","-697","-16765","0","0","-55","-66","0","3311","0","27","-14246","0","122000","0","0","0","2061000","2183000","2585000","402000"
30.3038126774649,-0.956396869810263,"3",Ntungamo,SW,"32000","50000","0","0","53000","3000","272000","0","192000","0","3000","605000","-1001","0","0","-669","-196","-4341","0","5894","0","16","-297","0","132000","0","0","0","0","132000","605000","474000"
29.714057768522,-0.707742614445872,"4",Kanungu,SW,"18000","223000","4235000","31000","562000","39000","106000","0","391000","0","2000","5606000","-701","-18781","-2716","-8064","-417","-244","0","4549","-1","12","-26363","1000","229000","0","0","82000","4479000","4791000","5606000","816000"
29.891380468374,-0.699663813244297,"5",Rukungiri,SW,"55000","0","3292000","0","293000","60000","179000","0","174000","0","4000","4056000","-1364","-6317","0","-989","-18","-914","0","4727","0","17","-4857","0","2699000","177000","0","477000","387000","3740000","4056000","316000"
30.8022605925205,-0.432359222905574,"6",Mbarara,SW,"84000","185000","721000","20000","370000","1477000","3358000","0","894000","0","26000","7135000","-2751","-3916","-576","-28515","-101339","-21799","0","17078","-1","138","-141681","3000","946000","0","0","1000","272000","1221000","7135000","5914000"
30.1643449941287,-0.426304466336435,"7",Bushenyi,SW,"112000","2000","12979000","341000","423000","141000","257000","0","449000","0","12000","14717000","-3586","-28681","-1470","-1432","-415","-1693","0","12322","-3","60","-24898","1","7987000","4428000","0","207000","1166000","13788000","14717000","929000"
31.6056379150539,-0.366504319591014,"8",Masaka,S,"115000","1000","1115000","1063000","214000","109000","552000","0","501000","0","23000","3692000","-3840","-64983","-38924","-9117","-5254","-3998","0","13205","-1","119","-112792","6000","1390000","0","0","0","0","1396000","3692000","2296000"
32.438696369621,-0.55623365100137,"9",Kalangala,S,"0","0","4170000","5000","334000","10000","71000","0","415000","0","0","5006000","0","-397998","-460","-90039","-453","-456","0","426","0","1","-406979","0","1144000","0","0","0","0","1144000","5006000","3861000"
31.4095442703331,-0.055303140632342,"10",Sembabule,S,"7000","0","0","0","285000","518000","1033000","1000","117000","0","1000","1962000","-311","0","0","-26466","-31885","-3932","0","4027","0","7","-58560","0","89000","0","0","0","0","89000","1962000","1872000"
30.4600480494037,0.195557613150696,"11",Kamwenge,W,"3000","0","4770000","90000","1420000","46000","701000","1000","641000","0","2000","7674000","-115","-31781","-1740","-45353","-1449","-1686","0","7091","0","9","-75024","0","112000","0","0","198000","4736000","5046000","7674000","2628000"
30.0083414117744,0.135673550093065,"12",Kasese,W,"15000","0","8620000","198000","1495000","191000","311000","0","191000","0","29000","11051000","-606","-83141","-11422","-5849","-2215","-692","0","6038","-14","145","-97755","1000","30000","254000","0","0","9623000","9908000","11051000","1143000"
33.8229537827307,-0.132005017678702,"13",Bugiri,E,"0","0","323000","150000","709000","59000","75000","5000","1910000","14000","7000","3251000","-17","-3647","-6979","-44180","-3149","-247","0","6499","-4","40","-51683","0","365000","0","0","0","0","365000","3251000","2887000"
31.9078485805045,0.125918098225238,"14",Mpigi,WS,"10000","0","4337000","2391000","1386000","120000","1072000","2000","2198000","0","9000","11525000","-267","-205020","-111018","-56661","-6724","-3588","0","8876","-3","48","-374359","15000","3610000","0","0","0","0","3625000","11525000","7899000"
33.0432034014048,-0.071975217396746,"15",Mukono,S,"50000","32000","12830000","4703000","224000","178000","260000","0","3476000","0","34000","21788000","-402","-541576","-283102","-11571","-7636","-1418","0","8885","-49","181","-836688","54000","9917000","0","0","0","0","9971000","21788000","11818000"
33.5888827289933,-0.591498643136736,"16",Mayuge,E,"12000","21000","199000","1226000","341000","53000","110000","0","1377000","0","4000","3343000","-43","-6792","-14297","-2423","-2377","-158","0","3963","-2","20","-22110","0","1643000","0","0","0","0","1643000","3343000","1700000"
32.5133253219297,0.215674639265361,"17",Wakiso,S,"33000","2000","1484000","2184000","369000","66000","161000","0","2100000","0","74000","6472000","-667","-132335","-160502","-15341","-2757","-902","0","6786","-7","206","-305519","16000","606000","0","94000","0","0","716000","647200","5756000"
34.0173402240197,0.391038170195152,"18",Busia,E,"1000","2000","96000","174000","194000","44000","19000","2000","644000","2000","7000","118800","-28","-285","-1917","-13520","-2538","-104","0","3148","-1","41","-15204","0","281000","0","0","0","0","281000","1188000","907000"
31.7066869669261,0.514003208136476,"19",Mubende,WS,"69000","21000","870000","2902000","3918000","561000","1508000","3000","6157000","9000","11000","16028000","-1684","-61043","-182768","-159627","-16327","-4162","0","19544","-10","59","-406017","10000","1510000","0","0","0","0","1520000","16028000","14508000"
30.8673764126963,0.566935302972136,"20",Kyenjojo,W,"22000","299000","7735000","799000","4721000","47000","836000","2000","3232000","1000","4000","177000000","-580","-536600","-79292","-155305","-1712","-2538","0","10807","-9","19","-765210","1000","4075000","0","0","183000","437000","4696000","17700000","13004000"
30.2661725962407,0.621444774364723,"21",Kabarole,W,"83000","117000","6516000","562000","548000","3000","206000","0","481000","0","15000","8531000","-2328","-45291","-10373","-1124","-79","-425","0","5408","-17","72","-64273","0","617000","60000","0","229000","6255000","7160000","8531000","1371000"
33.2253754842428,0.544411891945688,"22",Jinja,E,"311000","28000","5000","10000","14000","30000","1000","0","606000","0","44000","1050000","-1452","-816","-279","-505","-771","-19","0","2855","-27","229","-785","2000","330000","0","0","0","0","332000","1050000","718000"
33.5189514962363,0.76558016254382,"23",Iganga,E,"15000","0","129000","0","118000","62000","37000","10000","5993000","0","13000","6378000","-234","-548","0","-9086","-2869","-172","0","13129","0","69","289","9000","136000","0","0","0","0","145000","6378000","6233000"
32.8595651780769,0.989336065117042,"24",Kayunga,E,"56000","21000","16000","43000","259000","211000","345000","9000","1834000","3000","7000","2802000","-485","-1473","-2614","-18827","-8559","-1179","0","4956","-1","35","-28146","4000","192000","0","0","0","0","196000","2802000","2607000"
32.242610705485,1.00048407821533,"25",Luweero,WS,"7000","5000","21000","694000","7959000","87000","1103000","14000","6140000","0","12000","16042000","-111","-3329","-46387","-407625","-4198","-5350","0","10636","-1","64","-456303","7000","709000","0","0","0","0","716000","16042000","15327000"
30.1772910214705,0.849586341435399,"26",Bundibugyo,W,"0","0","10320000","239000","1196000","48000","729000","8000","702000","0","1000","13243000","0","-55438","-5704","-11155","-105","-2869","0","2007","0","6","-73257","1","79000","0","0","1086000","10168000","11334000","13243000","1909000"
34.0043939317905,0.808048198071292,"27",Tororo,E,"20000","0","0","4000","93000","40000","32000","14000","2254000","43000","23000","2523000","-438","-29","-371","-5460","-2321","-257","0","8985","-12","127","225","0","12000","0","0","0","0","12000","2523000","2510000"
31.7522241891627,0.984579171905997,"28",Kiboga,W,"0","74000","515000","180000","6241000","172000","1223000","7000","2332000","1000","3000","10748000","-6","-12767","-6007","-278907","-6623","-3893","0","6800","0","15","-301389","0","1633000","0","0","0","0","1633000","10748000","9114000"
33.1322657420469,1.068124683692,"29",Kamuli,E,"30000","3000","0","0","993000","167000","508000","30000","6081000","2000","14000","7826000","-625","0","0","-25813","-6530","-1574","0","15156","-1","74","-46314","5000","15000","0","0","0","0","21000","7826000","7806000"
31.0034170831957,0.924759080740177,"30",Kibaale,W,"3000","0","13327000","3258000","3960000","53000","592000","0","2337000","0","7000","23537000","-46","-1386547","-277269","-133433","-1538","-2330","0","10271","0","34","-1790857","2000","4093000","0","0","0","0","4095000","23537000","19442000"
